yorum,sentiment
    ben bu filmi seyrettigimde çok etkilenmiştim.,p
   Acaba Kate Winslet yerine Drew Barrymore daha mı başarılı olurdu.,o
   Bir kere Leonardo DiCaprio mükemmel oynamış.,p
   val kilmer'ı bir çpk insanın sevme nedeni bu filmdir,p
  11 oskar ödülüne gelince  akademi hiç mi yanlış karar veremez  hatırlayın ki Er Ryan dururken gidip aşık Shakespeare e ödül veren bir jüri topluluğu bu.,o
 '' Aşk filmi''.,o
  Bu adamın 2 filmi var ( Kurtlarla Dansı izlemedim) 1.Robin hood 2. Perfect World!,o
  Kahinin sözlerine dikkat edin.,o
  Sinemanın zevkine varıyorsunuz izlerken.,p
 :) İlk izlediğimde çok etkilenmiştim.,p
 1 1 1 numara unutulmaz bir film aşkı en güzel şekilde anlatıyor  bazıları buna katılmasa bile ",p
 1 ay önce tekrar izledim ve o duygusallığı üzerimden 1 hafta atamadı.,o
 10 puanı bu filme vermiceksinde hangi filme verceksin?,p
 3 defa izledim.,o
 7 / 10 izlenir.,o
 7.9 alması beni gerçekten şaşırttı  bu film bence pek çok James Bond filminden daha güzel.,p
 8/10,
 9.2 den çok çok daha fazlasını hakeden bi başyapıt .,p
 aaah ah  bide o dillerden düşmeyen akıllardan silinmeyen şarkısı yok mu !,p
 Ağlama konusuna gelince  evet itiraf edeyim benim de gözlerim doldu finalde  çok dokunaklıydı  ama bir filmin sizi ağlatması demek o filmin çok iyi olduğu anlamına mı gelir  bunu bir düşünmek gerek.,o
 Aksiyon son derece.,p
 Alacakaranlığı izlemedim henüz.,o
 Ama aynı şeyi hiç kimse Titanik için yapmıyor.,p
 Ama bence etkileyici konulara sahip olan Waterworld ve Postman'in başarısızlığından sonra  Kurtlarla Dans'ın bir istisna olduğu ortaya çıkıyor.,o
 Ama bize hayla bu flim hakkında yorum yapıyorsak.,o
 Ama bu kadarla kalmıyor.,o
 ama kötü bir film de degil.,o
 Ama sinema tarihinin çoğu klasiğini izlemiş bir kimse gelip  Titanik 10 numara  dünyanın en iyi filmidir derse  bu beni derbeder yapar  yollara düşerim.,n
 ama titanic yeri herzaman başkadır.,p
 Ama yorumları okudum şöyle bir durum var.,o
 arada bizim evin balkonuna çıkıp kollarımı açıyorum karşıdan esen rüzgara karşı !,o
 Aramis (Jeremy Irons) ise kaderini takip etmiş  bir rahip olmuş.,o
 ask filmi yapmasaydınız da zevkle seyretseydik,p
 Aşk-Gerilim-Dram herşey var 10 puan böle film zor yaparlar artık.,p
 Athos (John Malkovich)  oğlu Raoul'u yetiştiriyor ve basit bir hayat sürdürüyor.,o
 avatarla aynı puanda olması hakaret olmuş biraz.,p
 Aynı sene gösterilen L.A. Confidential Titanicden çok daha iyi bir film.,o
 Az önce yine izledim.,o
 azcık uzun sadece o kadar.,o
 B A Ş Y A P I T .,p
 Başrol oyuncularının uyumu harika.,p
 başyapıttanda öte bir film.,p
 belirli bir ivmenin altına düşmeyen film kendini izletebiliyor.,p
 Belki daha güzeli de yapılır ama TİTANİC in yeri her zaman ayrı olacak.,p
 Ben 10 üzerinden 10 verdim.,p
 Ben hiç bir zaman hiç bir şeye en yüksek notu vermem.,o
 bence bir baş yapıt.,p
 bence bu filme bu puan çok az kalmış.,o
 Bence eski bir film olsada bu konuyla çekilmiş bir olmaması insanı cezbediyor.,p
 Benden helalinden 9.,p
 Benim gözümde Terminator filmleri ile yönetmenlerin şahı olan James Cameron da bu filmde sıradan.,p
 Benim için hayal kırıklıklarından biriydi.,o
 Benim için şöyle rastgele açılmış bir Yeşilçam filmindeki aşk öyküsü bile buradakinden daha iyidir.,n
 benim kollarım leonardo nun ki gibi güzel hatunla dolu değil  hatta çok sefer çanak anteni kucaklıyom ama olsun umut garibin ekmeği nede olsa.,o
 Bildiğim kadarıyla en son Wishmaster IV te kaldılar.,o
 bilmem ama ben gittim.,o
 bir aşk hikayesi bukadar güzel anlatılabilir.,p
